value_book,value_book_price,EV,game,market,name,description,point,ballybet_price,betmgm_price,betonlineag_price,betparx_price,betus_price,bovada_price,draftkings_price,espnbet_price,fanduel_price,fliff_price,hardrockbet_price,lowvig_price,mybookieag_price,windcreek_price,avg_dejuiced_prob,book_decimal_odds
bovada,185.0,0.0031576494993583726,Alabama St Hornets @ Norfolk St Spartans,h2h,,Alabama St Hornets,,163.0,180.0,,163.0,,185.0,180.0,175.0,155.0,160.0,160.0,,160.0,175.0,0.3519851401752135,2.85
fanduel,-110.0,-0.10368042962950585,Charleston Southern Buccaneers @ North Alabama Lions,spreads,,Charleston Southern Buccaneers,9.5,,-120.0,,,,,,-115.0,-110.0,-125.0,,,,,0.4695007273369256,1.9090909090909087
espnbet,100.0,-0.09736114498573178,UC Irvine Anteaters @ Belmont Bruins,spreads,,UC Irvine Anteaters,-2.5,-114.0,-105.0,-109.0,-114.0,,,-105.0,100.0,-110.0,,,-105.0,-110.0,,0.4513194275071341,2.0
bovada,-105.0,-0.09870870884300242,Chicago St Cougars @ Grand Canyon Antelopes,spreads,,Grand Canyon Antelopes,-30.5,,,-115.0,,,-105.0,,-115.0,-120.0,-115.0,-115.0,-111.0,,,0.4616370027877304,1.9523809523809523
ballybet,-110.0,-0.10426658751113138,Buffalo Bulls @ Georgia Bulldogs,spreads,,Georgia Bulldogs,-26.5,-110.0,,,-110.0,,,,,-120.0,-130.0,,,,,0.4691936922560741,1.9090909090909087
betparx,-110.0,-0.10426658751113138,Buffalo Bulls @ Georgia Bulldogs,spreads,,Georgia Bulldogs,-26.5,-110.0,,,-110.0,,,,,-120.0,-130.0,,,,,0.4691936922560741,1.9090909090909087
lowvig,-102.0,-0.09706430023691426,Tennessee St Tigers @ Southern Indiana Screaming Eagles,spreads,,Tennessee St Tigers,4.5,-114.0,-110.0,-106.0,-114.0,-110.0,-115.0,-108.0,-110.0,-110.0,-115.0,-110.0,-102.0,-110.0,,0.4559378285932414,1.9803921568627447
lowvig,101.0,-0.09802830292170994,Oakland Golden Grizzlies @ Cleveland St Vikings,spreads,,Cleveland St Vikings,1.0,-110.0,,-103.0,-110.0,-110.0,-105.0,-105.0,,,,-105.0,101.0,-110.0,,0.4487421378498956,2.01
espnbet,135.0,-0.00424094590900892,Tennessee Tech Golden Eagles @ Lindenwood Lions,h2h,,Tennessee Tech Golden Eagles,,112.0,125.0,129.0,112.0,129.0,130.0,130.0,135.0,130.0,120.0,125.0,129.0,123.0,125.0,0.4237272570599962,2.35
lowvig,-101.0,-0.09902250943607127,Charleston Southern Buccaneers @ North Alabama Lions,spreads,,Charleston Southern Buccaneers,9.0,-112.0,,-105.0,-112.0,,-110.0,-108.0,,,,-110.0,-101.0,-110.0,,0.4527299828206806,1.99009900990099
espnbet,240.0,0.01652053447314139,Long Beach St 49ers @ Pepperdine Waves,h2h,,Long Beach St 49ers,,215.0,220.0,220.0,215.0,218.0,230.0,220.0,240.0,215.0,215.0,210.0,220.0,213.0,220.0,0.2989766277862181,3.4
fanduel,-220.0,-0.021704380045554306,Eastern Illinois Panthers @ SE Missouri St Redhawks,h2h,,SE Missouri St Redhawks,,-250.0,-250.0,-225.0,-250.0,-225.0,-230.0,-238.0,-240.0,-220.0,-260.0,-260.0,-225.0,-244.0,-250.0,0.6725782387186814,1.4545454545454546
lowvig,-101.0,-0.10075516084647662,Tenn-Martin Skyhawks @ Morehead St Eagles,spreads,,Tenn-Martin Skyhawks,5.5,-109.0,-110.0,-105.0,-109.0,-105.0,-115.0,-108.0,-105.0,-110.0,,-110.0,-101.0,-110.0,,0.4518593470373426,1.99009900990099
betmgm,-450.0,-0.03555322750182344,Charleston Southern Buccaneers @ North Alabama Lions,h2h,,North Alabama Lions,,-590.0,-450.0,,-590.0,,-470.0,-470.0,-500.0,-490.0,-515.0,-500.0,,-550.0,-500.0,0.7890928138621444,1.2222222222222223
draftkings,-1350.0,-0.03687713573506157,Bellarmine Knights @ Wyoming Cowboys,h2h,,Wyoming Cowboys,,-3335.0,-1400.0,,-3335.0,,,-1350.0,-1800.0,-1600.0,-2195.0,-1600.0,,-2000.0,-1667.0,0.8967005977639083,1.074074074074074
espnbet,105.0,-0.015323252426892808,Oakland Golden Grizzlies @ Cleveland St Vikings,h2h,,Cleveland St Vikings,,-103.0,100.0,-103.0,-103.0,-105.0,-105.0,102.0,105.0,100.0,-105.0,-105.0,-103.0,-103.0,100.0,0.4803301207673694,2.05
